,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CRO-USD,DOGE-USD,ETH-USD,HBAR-USD,LEO-USD,LINK-USD,LTC-USD,PYUSD-USD,RAIN-USD,SHIB-USD,SOL-USD,TON-USD,TRX-USD,WBT-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD
2025-11-18 01:00:00+00:00,-0.002693525,-0.01804276,-0.004284099,-0.000124019,-0.004046669,0.002267707,0.001108172,-0.005726424,-0.002622842,0.005880931,0.000671782,-0.001172188,-0.000174139,0,0.001478139,0.005727598,0,0.000434175,-0.003011027,0.003664813,0.01064098,-0.002346354,0.008622376
2025-11-18 02:00:00+00:00,-0.000737468,-0.000476057,-0.002296286,-0.005685955,-0.008762911,-0.000762864,-0.000282877,-0.006425183,-0.000458702,-0.000691677,0.000523889,0.001235284,-6.07E-05,0,0.002936501,0.007738946,0,-0.001279433,-0.003101018,-0.0010512,-0.002358911,-0.004979475,-0.009182525
2025-11-18 03:00:00+00:00,0.010094895,0.019493677,0.010824019,-0.004581667,-0.001368411,-0.008399656,0.012907129,0.007645739,0.004721099,-0.003996072,0.007482289,0.011022043,0.000152382,0,0.011297718,0.012156276,0,-0.000156703,-0.002043069,0.006711158,0.01592555,0.012939402,0.033446245
2025-11-18 04:00:00+00:00,-0.008427003,0.005350326,-0.009446408,0.000147309,-0.007323943,-0.001304592,-0.000800098,-0.004941323,-0.003440079,0.000521009,-0.000378899,0.001400554,5.78E-06,0,-0.001888666,0.002490292,0,-0.001808875,-0.003930705,-0.001194086,-0.001759776,-0.001077514,-0.011409093
2025-11-18 05:00:00+00:00,0.005604962,0.001058184,0.002125938,0.007889305,0.000579483,0.010675525,0.00362727,0.001576538,0.00041558,0.002458019,0.002005813,0.009708358,-7.17E-05,0,-0.001292499,0.007476733,0,-0.002924652,0.004773974,-0.000996252,-0.002909539,-0.000600817,-0.006760409
2025-11-18 06:00:00+00:00,-0.012394628,-0.009478334,-0.016334828,-0.005270492,-0.006567663,-0.025911694,-0.005723439,-0.008002523,-0.012893516,0.006900878,-0.00990991,-3.44E-05,-1.06E-05,0,-0.007005044,9.21E-05,0,-0.007036125,-0.006626989,-0.010892371,-0.015583389,-0.006149224,-0.053093825
2025-11-18 07:00:00+00:00,0.007747931,0.008876187,0.019137709,0.006741231,0.009605897,0.002742225,0.00825979,0.012368546,0.005851723,0.012549666,0.006635623,0.014274382,-2.74E-06,0,0.006218208,0.00837217,0.002264594,0.000687937,0.007780892,0.006703862,-0.001296589,0.007873614,0.012476354
2025-11-18 08:00:00+00:00,0.010550837,0.008436124,0.002229266,0.005684914,0.008562794,0.017474599,0.013404689,0.011269892,0.015008742,0.004942692,0.010815331,0.006800041,0.000123449,0,0.007313452,0.00580634,0.002759704,0.001826021,0.007099838,0.011608868,0.000840725,0.01321529,0.021798168
2025-11-18 09:00:00+00:00,-0.002077873,-0.00185011,0.000281213,0.005715066,0.001462782,0.010192633,0.001187708,-0.000752588,0.002927262,-0.003321632,0.000509125,0.000443993,-4.65E-05,0,-0.00066401,0.00117225,0.01098665,-0.000821592,-0.002931658,0.000830128,0.010140071,-0.004260704,-0.01491009
2025-11-18 10:00:00+00:00,0.001886843,-0.001554398,0.000129337,-0.002049231,0.002276801,-0.001792985,-0.001123764,0.002809467,-0.001849954,0.006497641,-0.001044242,-0.010211877,-5.67E-05,0,0.000418592,0.000282247,0,0.004522991,0.002829541,0.001494792,0.008805467,0.005193741,-0.01917897
2025-11-18 11:00:00+00:00,-0.000987636,-0.001453151,-0.004053661,-0.003063874,-0.000506666,-0.001652197,-0.00099378,-0.001105987,-0.003406627,-0.001770038,-0.003518301,0.00243481,3.21E-05,0,-0.002245416,-0.000632814,0,0.000720833,0.002005809,0.000333551,-0.027730252,-0.002501682,-0.024838671
2025-11-18 12:00:00+00:00,-0.001775196,0.000514576,-0.0020288,0.000161866,-0.001224934,-0.006255852,0.000891315,-0.005993221,0.000709697,0.003563808,-0.003519008,0.007432985,-5.16E-05,0,-0.003024241,0.001498879,0,0.000839407,-0.002973711,-0.00011569,-0.008177908,-0.000968923,0.000305416
2025-11-18 13:00:00+00:00,-0.007622277,-0.004084438,0.001167671,-0.000813729,-0.000325784,-0.003376528,-0.004919339,0.000974783,-0.00712005,-0.000414073,-0.004763006,0.000338033,-3.27E-05,0,-0.001279206,0.000856474,0.005994255,-0.000397033,-0.000843732,-0.004618285,0.006764184,-0.006209869,-0.018205538
2025-11-18 14:00:00+00:00,-0.000186703,-0.002795437,0.011849061,0.002929977,0.001478695,0.003266843,0.004339838,0.006186993,0.002371362,-0.001017025,0.004076615,-0.008467805,0.000142059,0,0.003881837,-0.000697861,0,-0.000927986,0.001383884,-0.001987172,-0.002906953,0.003554313,0.006674989
2025-11-18 15:00:00+00:00,0.021466716,0.016828419,0.02773258,0.00756129,0.015723853,0.023980612,0.015869763,0.01458741,0.024488712,-0.000173128,0.021072964,0.015364165,0.000111391,0,0.012638466,0.01303587,0,0.006261889,0.010597286,0.018563708,0.016949196,0.015861253,0.030292221
2025-11-18 16:00:00+00:00,0.011076215,0.005600427,0.032242001,0.012812739,0.005391515,0.020320188,0.00766262,0.013547549,0.004579176,0.000845028,0.012447979,0.000246869,0.0002389,0,0.012060387,0.007800715,0,0.002054138,0.192999424,0.011529517,0.0114394,0.005365114,0.050345788
2025-11-18 17:00:00+00:00,-0.006920108,-0.007449723,-0.008073562,-0.003048612,-0.002037819,0.001992648,-0.001637127,-0.005475038,0.000456946,-0.002527705,-0.004903925,-0.006073609,0.000100682,0,-0.005646191,-0.004749457,0.007464046,0.001328229,-0.008143103,-0.001526516,-0.00470618,-0.001724606,0.012349349
2025-11-18 18:00:00+00:00,0.006703033,0.006092215,0.01721362,0.002044945,0.001111078,0.011797623,0.005705467,0.007950436,0.014951382,0.002569539,0.008145585,-0.006269421,-0.000344769,0,0.005049614,0.008346966,0.002415249,0.000837668,-0.003953889,0.007178807,0.000912135,0.00512569,0.03806124
2025-11-18 19:00:00+00:00,-0.003414476,-0.005533351,0.002619197,-0.001231195,-0.002689586,0.012135257,0.003486316,-0.005861427,-0.005019772,0.001666359,-0.003185322,-0.004277099,4.23E-06,0,-0.003696119,-0.001947873,0,-0.000662777,-0.004626578,0.00448211,-0.013017023,-0.002268353,-0.005966782
2025-11-18 20:00:00+00:00,0.001850031,0.000737668,-0.003780598,0.000253622,-0.002984877,-0.001050703,-0.002366737,-0.003949976,0.001050735,0.005919748,0.001365518,0.003497645,0.000142739,0,-0.001354718,0.004973641,0,-0.002576789,-0.002512322,-0.004523457,0.001247147,0.001274101,-0.006084563
2025-11-18 21:00:00+00:00,-0.013504448,-0.014234933,-0.00701251,-0.006097142,-0.003481021,-0.015073682,-0.004518194,-0.009455874,-0.013031015,0.002449679,-0.013137619,-0.004386817,-8.20E-05,0,-0.010098374,-0.014972489,0,-0.003504588,-0.004852491,-0.009795385,-0.002473793,-0.011111805,-0.02646607
2025-11-18 22:00:00+00:00,0.013693217,0.01094936,0.021425278,0.0053385,0.007157724,0.022502887,0.009310255,0.00809129,0.012068533,0.000845447,0.011099745,0.013038136,3.17E-05,0,0.007634801,0.011823458,0,0.003625623,0.005345709,0.008015732,-0.001993517,0.01029832,0.009749033
2025-11-18 23:00:00+00:00,-0.008228168,-0.006698408,-0.021255846,-0.001414877,-0.001842546,0.017566291,-0.003752428,-0.001626668,-0.004367231,1.11E-05,-0.005533366,-0.004974175,0.000265224,0.02061827,-0.004125985,-0.004615929,-0.009632777,-0.004698675,-0.000960911,-0.005825306,0.001604199,-0.00435948,0.003197262
