id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,yf_symbol
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67991.0,1359896013488,1,1359896013488,36365252882.0,70131.0,67495.0,-1964.7602835476864,-2.80857,-39661220157.47534,-2.83384,19999050.0,19999050.0,21000000.0,126080.0,-46.073,2025-10-06T18:57:42.558Z,67.81,100168.55369,2013-07-06T00:00:00.000Z,,2026-03-07T13:00:41.108Z,BTC-USD
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1982.24,239210886819,2,239210886819,15607317066.0,2053.56,1957.7,-67.02599394055255,-3.27073,-8121270716.722687,-3.28355,120692062.0128698,120692062.0128698,,4946.05,-59.92272,2025-08-24T19:21:03.333Z,0.432979,457714.90512,2015-10-20T00:00:00.000Z,"{'times': 37.98232037005023, 'currency': 'btc', 'percentage': 3798.232037005023}",2026-03-07T13:00:41.553Z,ETH-USD
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,626.8,85462726767,4,85462726767,677200803.0,639.8,625.36,-10.826252536164816,-1.69789,-1491379154.08815,-1.71513,136358455.91,136358455.91,200000000.0,1369.99,-54.24755,2025-10-13T08:41:24.131Z,0.0398177,1574086.30819,2017-10-19T00:00:00.000Z,,2026-03-07T13:00:41.110Z,BNB-USD
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.36,83507206825,5,136368157132,2035614733.0,1.39,1.35,-0.025356384297531287,-1.82494,-1447053249.4432678,-1.70333,61227832454.0,99985701766.0,100000000000.0,3.65,-62.59074,2025-07-18T03:40:53.808Z,0.00268621,50681.02123,2014-05-22T00:00:00.000Z,,2026-03-07T13:00:41.872Z,XRP-USD
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,84.32,48127465448,7,52444418298,3162966467.0,86.71,83.84,-2.1344729503642554,-2.46876,-1140662414.8174515,-2.31521,570677257.2651799,621866049.1352245,,293.31,-71.25077,2025-01-19T11:15:27.957Z,0.500801,16738.00754,2020-05-11T19:35:23.449Z,,2026-03-07T13:00:25.129Z,SOL-USD
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.284269,26929196804,8,26929514892,350475456.0,0.28713,0.283387,-0.00278211440185322,-0.96921,-266020326.2726593,-0.97819,94742101290.4572,94743220385.7361,,0.431288,-34.08849,2024-12-04T00:10:40.323Z,0.00180434,15654.70255,2017-11-12T00:00:00.000Z,"{'times': 148.61508292070954, 'currency': 'usd', 'percentage': 14861.508292070952}",2026-03-07T13:00:41.933Z,TRX-USD
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.024,16009535453,9,16009535453,25378005.0,1.038,1.024,-0.010856100000000035,-1.04923,-135005567.48260307,-0.83623,15637046921.597,15637046921.597,,1.038,-1.37412,2026-03-07T00:30:33.757Z,0.155357,559.01346,2025-10-31T14:27:24.456Z,,2026-03-07T08:31:42.614Z,FIGR_HELOC-USD
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.090412,13860593239,10,13862498420,948138764.0,0.093117,0.090114,-0.002628566913883801,-2.82518,-403363404.39767075,-2.82785,153288646383.7052,153309716383.7052,,0.731578,-87.64148,2021-05-08T05:08:23.458Z,8.69e-05,103937.15483,2015-05-06T00:00:00.000Z,,2026-03-07T13:00:41.905Z,DOGE-USD
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,54.38,11617740208,11,17411793340,66977423.0,56.18,54.11,-1.7310620361837508,-3.08488,-364306824.8729439,-3.04044,213544699.0,320044699.0,400000000.0,64.11,-15.09894,2025-12-10T20:16:13.582Z,3.06,1677.65836,2023-02-13T19:01:21.899Z,,2026-03-07T13:00:41.574Z,WBT-USD
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999994,10916761261,12,10916761261,17926126.0,1.001,0.999534,5.742e-05,0.00574,162255115.0,1.50872,10916824486.10091,10916824486.10091,,1.057,-5.4275,2024-10-29T05:40:51.197Z,0.948265,5.44899,2024-10-03T13:19:28.826Z,,2026-03-07T13:00:41.920Z,USDS-USD
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.257354,9477404150,13,11580786088,419131117.0,0.267782,0.255997,-0.009123519553118742,-3.42375,-332899424.8513813,-3.39337,36826790816.19858,45000000000.0,45000000000.0,3.09,-91.66307,2021-09-02T06:00:10.474Z,0.01925275,1236.71103,2020-03-13T02:22:55.044Z,,2026-03-07T13:00:42.042Z,ADA-USD
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,449.83,8999466962,14,8999466962,188624265.0,452.74,442.82,-2.0609897750327946,-0.45608,-39355073.44627571,-0.4354,20004018.64665078,20004018.64665078,21000000.0,3785.82,-88.11799,2017-12-20T00:00:00.000Z,76.93,484.69179,2018-12-16T00:00:00.000Z,,2026-03-07T13:00:41.733Z,BCH-USD
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.05,8340678774,15,8920573765,1024601.0,9.08,9.04,0.0094003,0.10393,8603264.0,0.10325,921192563.9,985239504.0,,10.14,-10.665,2025-03-10T09:26:43.294Z,0.799859,1031.97429,2019-12-24T15:14:35.376Z,,2026-03-07T13:00:41.489Z,LEO-USD
